Region,Old area code,New area code,"Population
 mid-20121
(Thousands)","Total population
growth 
2011 to 20121
(%)","Median age
mid-20121
(Years)","Population 
aged 
under 16
mid-20121
(%)","Population aged
65 and over
mid-20121
(%)","Area 
(Sq km)","Population
density
mid-20121
(People per 
sq km)","Order
number"
Wales,924,W92000004,3074.1,0.3,41.7,18.1,19.1,20735,148,5
Scotland,923,S92000003,5313.6,0.3,41.5,17.2,17.4,77933,68,6
Northern Ireland,922,N92000002,1823.6,0.5,37.6,21.0,15.0,13562,134,7
North East,A,E12000001,2602.3,0.2,41.5,17.8,18.0,8573,304,8
North West,B,E12000002,7084.3,0.4,40.2,18.8,17.2,14105,502,9
Yorkshire and The Humber,D,E12000003,5316.7,0.5,39.8,18.9,17.2,15408,345,10
East Midlands,E,E12000004,4567.7,0.7,41.0,18.5,17.8,15606,293,11
West Midlands,F,E12000005,5642.6,0.6,39.7,19.5,17.4,12998,434,12
East,G,E12000006,5907.3,0.8,41.0,19.0,18.2,19109,309,13
London,H,E12000007,8308.4,1.3,34.0,20.1,11.3,1572,"5,285",14
South East,J,E12000008,8724.7,0.8,40.8,19.1,17.9,19070,458,15
South West,K,E12000009,5339.6,0.7,42.9,17.6,20.3,23837,224,16
